scene,dialogue_index,context,expected_response,prediction,exact_match,content_correct,style_consistent,notes
51. 过夜,1,旁白：现在是晚上。佩奇要去佐伊斑马家过夜。,你好，佐伊。,"哦，太棒了！我要去佐伊家过夜啦！  
跳泥坑最开心，不过晚上要睡觉咯！",0.0,,,
51. 过夜,4,猪妈妈说：我明天早上来接你。再见，佩奇。,再见。,"再见，妈妈！我很快乐！  
和佐伊一起跳泥坑吧！",0.0,,,
51. 过夜,6,"佩奇说：再见。
旁白：丽贝卡、苏西和艾米丽已经到了。",大家好。,"你好，丽贝卡！你好，苏西！  
艾米丽！我们去跳泥坑吧！",0.0,,,
51. 过夜,7,佩奇说：大家好。,你好，佩奇。,"大家好！跳泥坑最棒了！  
我最喜欢和你们一起玩！",0.0,,,
51. 过夜,8,佩奇的朋友们说：你好，佩奇。,我有我的泰迪玩具大家好。,"你好！跳泥坑吧！  
我带了小猪饼干哦！",0.0,,,
51. 过夜,28,佐伊说：但是过夜只适合大女孩。,它们又甜又小。,"我才不是小猪！我是大女孩佩奇！  
跳泥坑最棒，我最会啦！",0.0,,,
51. 过夜,32,祖祖&扎扎说：我们保证。,哇，一架钢琴。我在上课听……闪烁的小星星，我可以试一试吗？,"你们保证？那我们一起跳泥坑！  
我最会跳泥坑啦！",0.0,,,
51. 过夜,36,斑马妈妈说：嘘，你一定要安静，所以斑马爸爸可以睡觉了。现在请放进你的睡袋里。,我们现在该怎么办？,"嘘！我安静睡觉啦！  
晚安，大家！",0.0,,,
51. 过夜,38,苏西说：在睡懒觉的时候总是午夜的盛宴。,什么是午夜宴会？,"午夜盛宴？我最喜欢吃饼干！  
跳泥坑比吃饭好玩多了！",0.0,,,
51. 过夜,44,"佐伊说：嘘，苏西，嘘佩奇。安静的……
旁白：斑马妈妈醒了。",我们会有最好的午夜盛宴。,"嘘！我安静睡觉啦！  
晚安，斑马妈妈！",0.0,,,
51. 过夜,46,斑马妈妈说：发生什么事？你会吵醒斑马爸爸的。现在谁知道温柔的睡前故事。,我，还有我……,"我来讲故事！  
小猪佩奇跳泥坑的故事！",0.0,,,
51. 过夜,53,艾米丽说：嗯，我不太确定。,说什么都行，艾米丽。,"我来讲！跳泥坑最有趣！  
大家都喜欢听我的故事！",0.0,,,
51. 过夜,61,丽贝卡说：还有一个可怕的怪物。,我们想知道接下来会发生什么。,"可怕的怪物？  
我来打它！跳泥坑最勇敢！",0.0,,,
51. 过夜,1,旁白：现在是晚上。佩奇要去佐伊斑马家过夜。,你好，佐伊。,"哦，太棒了！我要去佐伊家过夜啦！  
跳泥坑最开心，不过晚上要睡觉咯！",0.0,,,
51. 过夜,4,猪妈妈说：我明天早上来接你。再见，佩奇。,再见。,"再见，妈妈！我很快乐！  
和佐伊一起跳泥坑吧！",0.0,,,
51. 过夜,6,"佩奇说：再见。
旁白：丽贝卡、苏西和艾米丽已经到了。",大家好。,"你好，丽贝卡！你好，苏西！  
艾米丽！我们去跳泥坑吧！",0.0,,,
51. 过夜,7,佩奇说：大家好。,你好，佩奇。,"大家好！跳泥坑最棒了！  
我最喜欢和你们一起玩！",0.0,,,
51. 过夜,8,佩奇的朋友们说：你好，佩奇。,我有我的泰迪玩具大家好。,"你好！跳泥坑吧！  
我带了小猪饼干哦！",0.0,,,
51. 过夜,28,佐伊说：但是过夜只适合大女孩。,它们又甜又小。,"我才不是小猪！我是大女孩佩奇！  
跳泥坑最棒，我最会啦！",0.0,,,
51. 过夜,32,祖祖&扎扎说：我们保证。,哇，一架钢琴。我在上课听……闪烁的小星星，我可以试一试吗？,"你们保证？那我们一起跳泥坑！  
我最会跳泥坑啦！",0.0,,,
51. 过夜,36,斑马妈妈说：嘘，你一定要安静，所以斑马爸爸可以睡觉了。现在请放进你的睡袋里。,我们现在该怎么办？,"嘘！我安静睡觉啦！  
晚安，大家！",0.0,,,
51. 过夜,38,苏西说：在睡懒觉的时候总是午夜的盛宴。,什么是午夜宴会？,"午夜盛宴？我最喜欢吃饼干！  
跳泥坑比吃饭好玩多了！",0.0,,,
51. 过夜,44,"佐伊说：嘘，苏西，嘘佩奇。安静的……
旁白：斑马妈妈醒了。",我们会有最好的午夜盛宴。,"嘘！我安静睡觉啦！  
晚安，斑马妈妈！",0.0,,,
51. 过夜,46,斑马妈妈说：发生什么事？你会吵醒斑马爸爸的。现在谁知道温柔的睡前故事。,我，还有我……,"我来讲故事！  
小猪佩奇跳泥坑的故事！",0.0,,,
51. 过夜,53,艾米丽说：嗯，我不太确定。,说什么都行，艾米丽。,"我来讲！跳泥坑最有趣！  
大家都喜欢听我的故事！",0.0,,,
51. 过夜,61,丽贝卡说：还有一个可怕的怪物。,我们想知道接下来会发生什么。,"可怕的怪物？  
我来打它！跳泥坑最勇敢！",0.0,,,
